nombre,Latitud,Longitud,coordenadas
TUXAQUILJA,16.75277778,-92.26805556,"16.75277778,-92.26805556"
HUISUCHI GRANDE,27.12437361,-107.6846275,"27.12437361,-107.6846275"
BAHUICHIVO,27.40972222,-108.0669444,"27.40972222,-108.0669444"
EL CARRIZAL (URIQUE),27.06631778,-107.8707394,"27.06631778,-107.8707394"
LA MAGDALENA TLATLAUQUITEPEC,18.76055556,-98.10083333,"18.76055556,-98.10083333"
SANTA LUCIA (TENAMPULCO),20.19361111,-97.34916667,"20.19361111,-97.34916667"
TEOPANTLAN,18.71527778,-98.26138889,"18.71527778,-98.26138889"
SAN BARTOLO TEONTEPEC,18.49027778,-97.52388889,"18.49027778,-97.52388889"
LA VENTANA,23.00611111,-100.2652778,"23.00611111,-100.2652778"
CHUNUN TZEN UNO,21.48527778,-98.97416667,"21.48527778,-98.97416667"
SAN JOSE (SAN JOSE DE LAS FLORES),21.54972222,-98.98666667,"21.54972222,-98.98666667"
TIXPEHUAL,20.97777778,-89.44166667,"20.97777778,-89.44166667"
EL EDEN (YAXIC),21.04416667,-87.67861111,"21.04416667,-87.67861111"
TEPATLAXCO DE HIDALGO,19.08083333,-97.97083333,"19.08083333,-97.97083333"
TAN TOCOY UNO,21.53083333,-98.99138889,"21.53083333,-98.99138889"
LAGUNA VERDE (LAGUNILLAS),21.48638889,-99.55861111,"21.48638889,-99.55861111"
PINIHUAN (RIO PINIHUAN),21.71194444,-99.57027778,"21.71194444,-99.57027778"
SAN RAFAEL (LAGUNILLAS),21.59,-99.70638889,"21.59,-99.70638889"
CERRITO DE LA CRUZ,21.89138889,-99.71361111,"21.89138889,-99.71361111"
VICENTE GUERRERO (RAYON),21.858653,-99.487771,"21.858653,-99.487771"
BAGRES DE ARRIBA (LA ESTANCIA),21.70555556,-100.14,"21.70555556,-100.14"
PASO DE SAN ANTONIO,22.0175,-100.3752778,"22.0175,-100.3752778"
PLAZUELA,21.79805556,-99.93222222,"21.79805556,-99.93222222"
PROGRESO (RIOVERDE),22.22833333,-100.1280556,"22.22833333,-100.1280556"
SAN DIEGO (RIOVERDE),21.91666667,-100.1016667,"21.91666667,-100.1016667"
SAN FRANCISCO (RIOVERDE),22.07472222,-99.86083333,"22.07472222,-99.86083333"
EL PITAHAYO (SANTA CRUZ DEL PITAYO),21.61777778,-99.83722222,"21.61777778,-99.83722222"
CERRITOS DE ZAVALA,22.53916667,-100.9772222,"22.53916667,-100.9772222"
SAMARIA,21.262502,-87.749352,"21.262502,-87.749352"
TIXCANCAL,21.03444444,-87.85138889,"21.03444444,-87.85138889"
DZI,20.07083333,-89.05055556,"20.07083333,-89.05055556"
CATMIS,19.95694444,-88.94944444,"19.95694444,-88.94944444"
CORRAL,19.81166667,-89.00444444,"19.81166667,-89.00444444"
KANXOC,20.61722222,-88.09944444,"20.61722222,-88.09944444"
XUILUB,20.4175,-88.02888889,"20.4175,-88.02888889"
YALCOBA,20.79027778,-88.03861111,"20.79027778,-88.03861111"
XOCCHEL,20.83333333,-89.18333333,"20.83333333,-89.18333333"
TIHOLOP,20.33138889,-88.68888889,"20.33138889,-88.68888889"
YOKDZONOT,20.71083333,-88.73138889,"20.71083333,-88.73138889"
KANCABDZONOT,20.50916667,-88.71055556,"20.50916667,-88.71055556"
CHURO,27.36388889,-107.9019444,"27.36388889,-107.9019444"
