nombre,Latitud,Longitud,coordenadas
UMF 41 FORTUNA,19.5009,-99.1255,"19.5009,-99.1255"
UMF 6 MERCED,19.4308,-99.1246,"19.4308,-99.1246"
UMF 11 PERALVILLO,19.4685,-99.1302,"19.4685,-99.1302"
UMF 14 AEROPUERTO,19.423,-99.095,"19.423,-99.095"
UMF 97 MAGDALENA,20.9103,-103.9706,"20.9103,-103.9706"
UMF 21 ROSARITO,32.3391,-117.0467,"32.3391,-117.0467"
UMF 41 BALCONES DE ALCALÁ,26.002687,-98.26358,"26.002687,-98.26358"
UMF 21 ROSARITO,32.3391,-117.0467,"32.3391,-117.0467"
UMF 27 PAPANTLA,20.454,-97.3207,"20.454,-97.3207"
UMF 85 TARIMBARO,19.761788,-100.203018,"19.761788,-100.203018"
UMF 15 MONTERREY,25.7034,-100.284,"25.7034,-100.284"
UMF 59 MÉRIDA,20.9695,-89.5878,"20.9695,-89.5878"
UMF 67 CD. JUÁREZ,31.6236,-106.4496,"31.6236,-106.4496"
UMF 57 LA MARGARITA,19.0087,-98.1825,"19.0087,-98.1825"
UMF 6 PUEBLA,19.0665,-98.2165,"19.0665,-98.2165"
UMF 7 SN BARTOLO,18.9915,-98.2416,"18.9915,-98.2416"
UMF 25 AIRE LLIBRE,19.8749,-97.3929,"19.8749,-97.3929"
UMF 56 MAZATEPEC,20.0169,-97.4194,"20.0169,-97.4194"
UMF 37 LOS LIBRES,19.4679,-97.6845,"19.4679,-97.6845"
UMF 41 BALCONES DE ALCALÁ,26.002687,-98.26358,"26.002687,-98.26358"
UMF 58 SAN JOSÉ CHIAPA,19.217931,-97.7770597,"19.217931,-97.7770597"
UMF 24 YECAPIXTLA,18.8833,-98.865,"18.8833,-98.865"
UMF 24 TEPIC,21.487,-104.878,"21.487,-104.878"
UMF 5 TEPIC,21.5206,-104.8984,"21.5206,-104.8984"
UMF 19 AGUA PRIETA,31.3057,-109.5511,"31.3057,-109.5511"
UMF 5 NOGALES,31.3180317,-110.9468987,"31.3180317,-110.9468987"
UMF 66 CD OBREGÓN,27.44635,-109.92407,"27.44635,-109.92407"
UMF 8 AGUASCALIENTES,21.884,-102.2739,"21.884,-102.2739"
UMF 26 MEXICALI,32.6236,-115.4188,"32.6236,-115.4188"
UMF 16 MEXICALI,32.6406,-115.4955,"32.6406,-115.4955"
UMF 28 MEXICALI,32.6362,-115.4567,"32.6362,-115.4567"
UMF 37 PALMAR,32.6274,-115.3921,"32.6274,-115.3921"
UMF 40 VILLAS DEL REY,32.5907,-115.4814,"32.5907,-115.4814"
UMF 6 JESÚS MARÍA,21.9555,-102.3386,"21.9555,-102.3386"
UMFH 10 GUADALUPE VICTORIA,32.2863,-115.1015,"32.2863,-115.1015"
UMF 4 SAN CARLOS,24.7912,-112.1103,"24.7912,-112.1103"
UMF 11 LORETO,26.0077,-111.3546,"26.0077,-111.3546"
UMF 15 B. ASUNCIÓN,27.1383,-114.296,"27.1383,-114.296"
UMF 10 SANTA LUCÍA,19.8446,-90.5015,"19.8446,-90.5015"
UMF 11 AH KIM PECH,19.8541,-90.527,"19.8541,-90.527"
UMF 13 CAMPECHE,19.834,-90.4929,"19.834,-90.4929"
UMFH 2 CHAMPOTÓN,19.3576,-90.7244,"19.3576,-90.7244"
UMF 3 LA JOYA,19.4812,-90.6766,"19.4812,-90.6766"
UMF 12 CD. DEL CARMEN,18.6464,-91.7838,"18.6464,-91.7838"
UMF 5 ESCARCEGA,18.6001,-90.7305,"18.6001,-90.7305"
UMF 70 SALTILLO,25.4327,-101.0006,"25.4327,-101.0006"
UMF 66 TORREÓN,25.5539,-103.4246,"25.5539,-103.4246"
UMF 17 S.CRISTOBAL,16.7349,-92.6485,"16.7349,-92.6485"
UMF 33 PIJIJIAPAN,15.6927,-93.2107,"15.6927,-93.2107"
UMF 27 FRONTERA,15.6607,-92.1418,"15.6607,-92.1418"
UMF 22 ACAPETAHUA,15.2837,-92.6913,"15.2837,-92.6913"
UMF-UMAA 33 CHIHUAHUA,28.6412,-106.0852,"28.6412,-106.0852"
UMF 44 CHIHUAHUA,28.6687,-106.0947,"28.6687,-106.0947"
UMF 29 CHIHUAHUA,28.6223,-106.0699,"28.6223,-106.0699"
UMF 58 CHIHUAHUA,28.6706,-106.1282,"28.6706,-106.1282"
UMF 14 ROSALES,28.1878,-105.555,"28.1878,-105.555"
UMF 20 DELICIAS,28.1813,-105.4521,"28.1813,-105.4521"
UMF 57 DELICIAS,28.1887,-105.4865,"28.1887,-105.4865"
UMF 12 MEOQUI,28.2673,-105.478,"28.2673,-105.478"
UMF 27 LÁZARO CÁRDENAS,29.1106,-107.0259,"29.1106,-107.0259"
UMF 56 CD. JUÁREZ,31.7429,-106.5034,"31.7429,-106.5034"
UMF 10 V. AHUMADA,30.6102,-106.5108,"30.6102,-106.5108"
UMF 5 GUANACEVI,25.9332,-105.9578,"25.9332,-105.9578"
UMF 31 STA. CRUZ LUJAN,25.7225,-103.3594,"25.7225,-103.3594"
UMF 30 BERMEJILLO,25.8876,-103.6234,"25.8876,-103.6234"
UMF 20 CEBALLOS,26.5242,-104.1297,"26.5242,-104.1297"
UMFH 3 SN. MIGUEL CRUCES,24.4186,-105.841,"24.4186,-105.841"
UMF 45 MAPIMI,25.8337,-103.8481,"25.8337,-103.8481"
UMF 25 COTAXTLA,18.8355,-96.3966,"18.8355,-96.3966"
UMF 40 SN. JUAN RÍO,24.7675,-104.4667,"24.7675,-104.4667"
UMF 46 GUANAJUATO,21.0143,-101.2646,"21.0143,-101.2646"
UMF 50 GUANAJUATO,21.0157,-101.2521,"21.0157,-101.2521"
UMFH 11 S. MIGUEL ALLENDE,20.9243,-100.7413,"20.9243,-100.7413"
UMFH 12 DOLORES HIDALGO,21.1643,-100.9407,"21.1643,-100.9407"
UMF 18 TIJUANA,32.465,-116.8308,"32.465,-116.8308"
UMFH 4 E. DURANGO,32.2484,-115.2536,"32.2484,-115.2536"
UMF 14 SILAO,20.9437,-101.4209,"20.9437,-101.4209"
UMF 45 IRAPUATO,20.6979,-101.3446,"20.6979,-101.3446"
UMF 57 IRAPUATO,20.6623,-101.3509,"20.6623,-101.3509"
UMF 16 S. CRUZ JUVENTINO,20.6415,-100.987,"20.6415,-100.987"
UMF 5 COMONFORT,20.718,-100.7562,"20.718,-100.7562"
UMF 49 CELAYA,20.5184,-100.8236,"20.5184,-100.8236"
UMFH 6 CORTAZAR,20.4869,-100.9659,"20.4869,-100.9659"
UMFH 8 SALVATIERRA,20.2196,-100.8814,"20.2196,-100.8814"
UMF 40 VILLAGRAN,20.5145,-100.9889,"20.5145,-100.9889"
UMFH 9 PENJAMO,20.433,-101.715,"20.433,-101.715"
UMF 27 PURÍSIMA,21.031,-101.8738,"21.031,-101.8738"
UMF 17 SORIA,20.67,-100.7525,"20.67,-100.7525"
UMF 26 OCAMPO,21.6469,-101.4766,"21.6469,-101.4766"
UMF 72 BUENA VISTA,25.85189399,-100.3696916,"25.85189399,-100.3696916"
UMF 35 PEDRICEÑA,25.1236,-103.7864,"25.1236,-103.7864"
UMF 44 IRAPUATO,20.6888,-101.3449,"20.6888,-101.3449"
UMF 19 V. SANTIAGO,20.3986,-101.1924,"20.3986,-101.1924"
UMF 30 S. FELIPE,21.4777,-101.2044,"21.4777,-101.2044"
UMF 41 TARIMORO,20.2851,-100.7557,"20.2851,-100.7557"
UMF 28 ROMITA,20.8709,-101.5113,"20.8709,-101.5113"
UMF 38 S. JOSÉ ITURBIDE,21.0009,-100.385,"21.0009,-100.385"
UMF 25 JARAL DE BERRIOS,21.4774,-101.2042,"21.4774,-101.2042"
UMF 18 APASEO EL ALTO,20.4611,-100.6289,"20.4611,-100.6289"
UMF 24 MANUEL DOBLADO,20.7257,-101.9433,"20.7257,-101.9433"
UMF 36 YURIRIA,20.2118,-101.139,"20.2118,-101.139"
UMF 35 PUEBLO NUEVO,20.5258,-101.3684,"20.5258,-101.3684"
UMF 32 CUERAMARO,20.6217,-101.6691,"20.6217,-101.6691"
UMF 22 ABASOLO,20.4463,-101.5241,"20.4463,-101.5241"
UMF 23 APASEO GRANDE,20.5472,-100.6937,"20.5472,-100.6937"
UMF 34 JARAL PROGRESO,20.3759,-101.0662,"20.3759,-101.0662"
UMF-UMAA 29 DIAMANTE,16.8122,-99.8052,"16.8122,-99.8052"
UMF 17 LA UNIÓN,17.9876,-101.8082,"17.9876,-101.8082"
UMF 3 QUIROGA,19.6661,-101.5285,"19.6661,-101.5285"
UMFH 8 MOCHICAHUI,25.953,-108.931,"25.953,-108.931"
UMF 61 LOS HÉROES DE LA SALUD,20.9905,-89.538168,"20.9905,-89.538168"
UMF 35 LOS LOBOS,32.5031,-116.9021,"32.5031,-116.9021"
UMF 3 ARMERÍA,18.9371,-103.968,"18.9371,-103.968"
UMF 21 CUTZAMALA,18.4729,-100.585,"18.4729,-100.585"
UMF 15 PETATLAN,17.533,-101.2651,"17.533,-101.2651"
UMF 27 PETACALCO,17.9816,-102.1061,"17.9816,-102.1061"
UMF 34 TULANCINGO,20.1042,-98.3618,"20.1042,-98.3618"
UMF 4 SANTIAGOTULANT,20.0361,-98.3548,"20.0361,-98.3548"
UMF 29 HUICHAPAN,20.3695,-99.6535,"20.3695,-99.6535"
UMF 15 APAN,19.7057,-98.4566,"19.7057,-98.4566"
UMF 1 GUADALAJARA,20.6606,-103.3509,"20.6606,-103.3509"
UMF 2 GUADALAJARA,20.689,-103.3647,"20.689,-103.3647"
UMF 71 METROPLEX,25.795,-100.2531,"25.795,-100.2531"
UMF 92 MIRAVALLE,20.6147,-103.3431,"20.6147,-103.3431"
UMFH 5 EL SALTO,20.5148,-103.1783,"20.5148,-103.1783"
UMFH 13 PIHUAMO,19.2547,-103.3814,"19.2547,-103.3814"
UMFH 19 TUXPAN,19.5568,-103.3847,"19.5568,-103.3847"
UMF 48 MOCTEZUMA,29.809,-109.679,"29.809,-109.679"
UMF 1 TAPACHULA,14.92021,-92.265917,"14.92021,-92.265917"
UMF 1 DURANGO,24.0286,-104.6846,"24.0286,-104.6846"
UMFH 9 LUIS B. SÁNCHEZ,32.2028,-115.0004,"32.2028,-115.0004"
UMFH 17 ATENTIQUE,19.5303,-103.438,"19.5303,-103.438"
UMF 12 EL ARENAL,20.7758,-103.6941,"20.7758,-103.6941"
UMF 95 PONCITLÁN,20.3799,-102.9243,"20.3799,-102.9243"
UMF 4 ATEMAJAC,20.7133,-103.356,"20.7133,-103.356"
UMF 53 ZAPOPAN,20.7217,-103.3876,"20.7217,-103.3876"
UMF 73 SALTILLO,25.417,-101.0086,"25.417,-101.0086"
UMF 80 TORREÓN,25.5466,-103.4525,"25.5466,-103.4525"
UMF 17 MANZANILLO,19.0905,-104.2936,"19.0905,-104.2936"
UMF 5 CUAUHTÉMOC,19.325,-103.605,"19.325,-103.605"
UMF 36 LA GARITA,19.7744,-103.1228,"19.7744,-103.1228"
UMF 35 VISTA HERMOSA,19.6968,-103.3378,"19.6968,-103.3378"
UMF 39 TLAQUEPAQUE,20.6264,-103.3219,"20.6264,-103.3219"
UMF 54 TLAQUEPAQUE,20.6339,-103.2899,"20.6339,-103.2899"
UMF 170 DEL MAR,20.6538,-105.2356,"20.6538,-105.2356"
UMF 179 LAS PAROTAS,20.6752,-105.2092,"20.6752,-105.2092"
UMF 62 SAYULA,19.885,-103.5891,"19.885,-103.5891"
UMF 87 TEOCALTICHE,21.446,-102.5696,"21.446,-102.5696"
UMF 47 ZAPOTLANEJO,20.6224,-103.0563,"20.6224,-103.0563"
UMF 8 EL MAYORAZGO,19.0191,-98.2289,"19.0191,-98.2289"
UMF 31 MOMAX,21.9239,-103.311,"21.9239,-103.311"
UMF 48 GUADALAJARA,20.6897,-103.3021,"20.6897,-103.3021"
UMF 50 ATOTONILQUILLO,20.3965,-103.1092,"20.3965,-103.1092"
UMF 70 CAREYES,19.4439,-105.0232,"19.4439,-105.0232"
UMF 84 ENCARNACIÓN DE DÍAZ,21.5336,-102.2395,"21.5336,-102.2395"
UMF 80 CIHUATLÁN,19.236,-104.5718,"19.236,-104.5718"
UMF 57 IXTLAHUACAN,20.864,-103.2363,"20.864,-103.2363"
UMF 59 TLAJOMULCO,20.469,-103.4435,"20.469,-103.4435"
UMF 58 JOCOTEPEC,20.2809,-103.4332,"20.2809,-103.4332"
UMF 63 SAN GABRIEL,19.7439,-103.771,"19.7439,-103.771"
UMF 67 TOTOTLÁN,20.5419,-102.797,"20.5419,-102.797"
UMF 66 AYOTLÁN,20.5261,-102.3272,"20.5261,-102.3272"
