nombre,Latitud,Longitud,coordenadas
UMFR  MAGDALENA DE LAS SALINAS,19.4828,-99.1349,"19.4828,-99.1349"
HORTO  MAGDALENA DE LAS SALINAS,19.4852,-99.1369,"19.4852,-99.1369"
HTO  MAGDALENA DE LAS SALINAS.,19.4853,-99.1375,"19.4853,-99.1375"
UMFR  CONJUNTO COLONIA,19.4338,-99.1649,"19.4338,-99.1649"
HGZ 1 NUEVA FRONTERA TAPACHULA,14.9111,-92.2753,"14.9111,-92.2753"
HGSMF 15 TONALA,16.0949,-93.7628,"16.0949,-93.7628"
HTO   CMN PUEBLA,19.0553,-98.2152,"19.0553,-98.2152"
HGS 10 NUEVO NECAXA,20.2117,-98.0033,"20.2117,-98.0033"
HGPMF 31 MEXICALI,32.6623,-115.4664,"32.6623,-115.4664"
HGZ 1 TEPIC,21.5144,-104.911,"21.5144,-104.911"
HGSMF 15 MOROLEÓN,20.1297,-101.1839,"20.1297,-101.1839"
HGZ 30 MEXICALI,32.6621,-115.4678,"32.6621,-115.4678"
HGS 6 TECATE,32.5455,-116.6315,"32.5455,-116.6315"
HGZMF 1 LA PAZ,24.1453,-110.3181,"24.1453,-110.3181"
HGS 38 SAN JOSÉ DEL CABO,23.0785,-109.7144,"23.0785,-109.7144"
HGZMF 8 ZIHUATANEJO,17.6498,-101.5441,"17.6498,-101.5441"
HGSMF 2 CD. CONSTITUCIÓN,25.0224,-111.6696,"25.0224,-111.6696"
HGSMF 13 ISLA DE CEDROS,28.0395,-115.1874,"28.0395,-115.1874"
HGZMF 1 CAMPECHE,19.8402,-90.537,"19.8402,-90.537"
UMAA  CAMPECHE (AUT),19.8217,-90.5262,"19.8217,-90.5262"
HGZMF 4 CD.  DEL CARMEN,18.6425,-91.84,"18.6425,-91.84"
HGSMF 21 S. PEDRO COLONIAS,25.7549,-102.9575,"25.7549,-102.9575"
HGO 15 CHIHUAHUA,28.6581,-106.0777,"28.6581,-106.0777"
HGZMF 16 CD. CUAUHTÉMOC,28.4073,-106.8487,"28.4073,-106.8487"
HGZMF 11 CD. DELICIAS,28.1949,-105.4781,"28.1949,-105.4781"
HGZ 1 DURANGO,24.0288,-104.6821,"24.0288,-104.6821"
HGZ 51 CHAPALA,25.5703,-103.522,"25.5703,-103.522"
HGSMF 2 EL SALTO,23.7817,-105.361,"23.7817,-105.361"
HGS 10 GUANAJUATO,21.0182,-101.262,"21.0182,-101.262"
HGS 54 SILAO,20.9465,-101.41,"20.9465,-101.41"
HGZMF 2 IRAPUATO,20.6869,-101.36,"20.6869,-101.36"
HGZ 4 CELAYA,20.5176,-100.824,"20.5176,-100.824"
HGSMF 13 ACAMBARO,20.039,-100.7223,"20.039,-100.7223"
HGZMF 21 LEÓN,21.1087,-101.6873,"21.1087,-101.6873"
HGZ 35 CUAUTLANCINGO,19.10086,-98.26349,"19.10086,-98.26349"
HGSMF 20 S. LUIS PAZ,21.2955,-100.5301,"21.2955,-100.5301"
HES 1 CMN DEL BAJÍO,21.1395,-101.687,"21.1395,-101.687"
HGP 48 CMN DEL BAJÍO,21.1409,-101.6874,"21.1409,-101.6874"
HGZMF 4 IGUALA,18.3468,-99.5306,"18.3468,-99.5306"
HGSMF 5 TAXCO,18.5536,-99.6026,"18.5536,-99.6026"
HGSMF 19 CD. ALTAMIRANO,18.3543,-100.672,"18.3543,-100.672"
HGS 185  ARANDAS,20.71219112,-102.3724636,"20.71219112,-102.3724636"
HGZMF 1 PACHUCA,20.1143,-98.7243,"20.1143,-98.7243"
HGZ 2 TULANCINGO,20.0914,-98.3684,"20.0914,-98.3684"
HGZMF 5 TULA DE HIDALGO,20.0546,-99.3394,"20.0546,-99.3394"
HGR 45 GUADALAJARA,20.6795,-103.361,"20.6795,-103.361"
HGZ 14 GUADALAJARA,20.6447,-103.304,"20.6447,-103.304"
HGSMF 27 VILLA CORONA,20.4136,-103.6637,"20.4136,-103.6637"
HGZMF 9 CD. GUZMÁN,19.7201,-103.46,"19.7201,-103.46"
HGZMF 8 ENSENADA,31.8566,-116.6058,"31.8566,-116.6058"
HGZMF 2 SALTILLO,25.4536,-100.987,"25.4536,-100.987"
HGZMF 16 TORREÓN,25.5355,-103.4214,"25.5355,-103.4214"
HGZMF 18 TORREÓN,25.5357,-103.446,"25.5357,-103.446"
HGZ 42 PTO. VALLARTA,20.6376,-105.232,"20.6376,-105.232"
HES  CMN OCCIDENTE,20.6867,-103.326,"20.6867,-103.326"
HGR 110 OBLATOS,20.6895,-103.301,"20.6895,-103.301"
HGZ 89 GUADALAJARA,20.6639,-103.368,"20.6639,-103.368"
HGR 180 TLAJOMULCO,20.5072,-103.3988,"20.5072,-103.3988"
HGOMF 60 TLANEPANTLA,19.5388,-99.1903,"19.5388,-99.1903"
UMAA 199 TLALNEPANTLA (AUT),19.5367,-99.1947,"19.5367,-99.1947"
